OCC_CODE,AREA_TITLE,A_MEDIAN
27-3031,Michigan,"99,260"
43-1011,Michigan,"126,820"
51-1011,Michigan,"134,810"
13-1161,Minnesota,"72,270"
17-3029,Minnesota,"77,500"
27-3031,Minnesota,"76,600"
43-1011,Minnesota,"80,590"
51-1011,Minnesota,"146,320"
27-3031,Mississippi,"80,430"
43-1011,Mississippi,"73,800"
51-1011,Mississippi,"127,850"
11-2021,Missouri,"163,800"
13-1161,Missouri,"80,370"
15-1299,Missouri,"92,470"
43-1011,Missouri,"100,140"
51-1011,Missouri,"126,090"
43-1011,Montana,"94,470"
51-1011,Montana,"126,760"
15-1299,Nevada,"66,660"
43-1011,Nevada,"98,880"
51-1011,Nevada,"144,190"
51-1011,New Hampshire,"129,400"
13-1161,New Jersey,"82,540"
15-1299,New Jersey,"94,560"
43-1011,New Jersey,"104,030"
51-1011,New Jersey,"131,110"
43-1011,New Mexico,"80,340"
51-1011,New Mexico,"84,120"
11-2021,New York,"167,820"
11-2022,New York,"153,480"
11-2032,New York,"178,110"
13-1161,New York,"124,420"
15-1299,New York,"130,030"
15-2051,New York,"105,880"
27-3031,New York,"136,950"
43-1011,New York,"104,710"
51-1011,New York,"143,400"
11-2022,North Carolina,#
13-1161,North Carolina,"64,920"
15-1299,North Carolina,"121,420"
27-3031,North Carolina,"88,150"
41-4012,North Carolina,"78,930"
43-1011,North Carolina,"75,180"
51-1011,North Carolina,"122,450"
51-1011,North Dakota,"119,920"
13-1161,Ohio,"74,670"
17-3029,Ohio,"100,100"
27-3031,Ohio,"100,540"
41-4011,Ohio,"81,440"
41-4012,Ohio,"26,980"
43-1011,Ohio,"97,090"
51-1011,Ohio,"134,570"
11-2021,Oklahoma,"128,710"
13-1161,Oklahoma,"89,550"
43-1011,Oklahoma,"82,890"
51-1011,Oklahoma,"118,000"
43-1011,Oregon,"100,190"
51-1011,Oregon,"108,080"
13-1161,Pennsylvania,"99,880"
15-1299,Pennsylvania,"84,250"
15-2051,Pennsylvania,"125,380"
27-3031,Pennsylvania,"119,010"
43-1011,Pennsylvania,"104,230"
51-1011,Pennsylvania,"122,330"
13-1161,South Carolina,"98,470"
15-1299,South Carolina,"91,320"
27-3031,South Carolina,"91,650"
43-1011,South Carolina,"86,930"
51-1011,South Carolina,"114,340"
51-1011,South Dakota,"86,140"
43-1011,Tennessee,"71,670"
51-1011,Tennessee,"69,630"
11-2021,Texas,"156,710"
11-2022,Texas,"140,520"
11-2032,Texas,"146,630"
13-1161,Texas,"81,730"
15-1299,Texas,"84,100"
15-2051,Texas,"97,610"
27-3031,Texas,"76,850"
41-4011,Texas,"105,010"
43-1011,Texas,"78,820"
51-1011,Texas,"116,380"
43-1011,Utah,"111,420"
51-1011,Utah,"133,130"
11-2021,Virginia,#
11-2032,Virginia,"163,480"
13-1161,Virginia,"92,650"
27-3031,Virginia,"73,790"
41-4012,Virginia,"59,370"
43-1011,Virginia,"88,180"
51-1011,Virginia,"137,340"
13-1161,Washington,"111,500"
41-4011,Washington,"159,930"
43-1011,Washington,"124,890"
51-1011,Washington,"137,320"
11-2022,West Virginia,"128,020"
15-1299,West Virginia,"75,950"
43-1011,West Virginia,"94,140"
51-1011,West Virginia,"118,790"
15-1299,Wisconsin,"122,460"
27-3031,Wisconsin,"86,090"
41-9031,Wisconsin,"113,950"
43-1011,Wisconsin,"98,040"
51-1011,Wisconsin,"124,890"
51-1011,Wyoming,"130,800"
43-1011,Puerto Rico,"63,690"
51-1011,Puerto Rico,"75,160"
13-1161,Alabama,"104,530"
27-3031,Alabama,"132,500"
43-1011,Alabama,"98,550"
51-1011,Alabama,"176,790"
51-1011,Alaska,"125,220"
43-1011,Arizona,*
13-1161,Arkansas,"100,780"
43-1011,Arkansas,"80,440"
51-1011,Arkansas,"135,180"
11-2022,California,"152,670"
11-2032,California,"204,490"
13-1161,California,"107,790"
15-1299,California,"143,510"
15-2051,California,"108,040"
17-3029,California,"107,940"
27-3031,California,"170,370"
41-4012,California,"65,320"
43-1011,California,"127,970"
51-1011,California,"153,050"
43-1011,Connecticut,"102,530"
51-1011,Connecticut,"153,970"
11-2021,Florida,"199,570"
11-2032,Florida,"128,590"
13-1161,Florida,"105,310"
15-1299,Florida,"83,510"
15-2051,Florida,"105,490"
27-3031,Florida,"77,750"
43-1011,Florida,"71,210"
51-1011,Florida,"110,340"
13-1161,Georgia,"72,400"
15-1299,Georgia,"86,150"
27-3031,Georgia,"80,800"
41-4012,Georgia,"107,450"
43-1011,Georgia,"97,690"
51-1011,Hawaii,"135,200"
11-2021,Illinois,"145,420"
11-2022,Illinois,"134,750"
11-2032,Illinois,"141,030"
15-2051,Illinois,"76,160"
27-3031,Illinois,"63,150"
43-1011,Illinois,"106,380"
51-1011,Illinois,"121,230"
11-2021,Indiana,"123,660"
13-1161,Indiana,"66,310"
15-1299,Indiana,"82,090"
15-2051,Indiana,"102,540"
27-3031,Indiana,"76,810"
43-1011,Indiana,"99,000"
51-1011,Indiana,"126,860"
13-1161,Iowa,"98,640"
27-3031,Iowa,"78,390"
43-1011,Iowa,"86,330"
51-1011,Iowa,"117,790"
43-1011,Kansas,"118,590"
51-1011,Kansas,"142,160"
43-1011,Kentucky,"87,680"
51-1011,Kentucky,"122,530"
15-1299,Louisiana,"97,510"
17-3029,Louisiana,"87,300"
43-1011,Louisiana,"78,670"
51-1011,Louisiana,"120,140"
11-2021,Maryland,"174,090"
13-1161,Maryland,"96,420"
43-1011,Maryland,"100,800"
51-1011,Maryland,"126,960"
43-1011,Massachusetts,"122,380"
51-1011,Massachusetts,"128,030"
13-1161,Michigan,"127,890"
15-2051,Michigan,"91,060"
27-3031,Michigan,"99,260"
43-1011,Michigan,"130,110"
51-1011,Michigan,"137,690"
13-1161,Minnesota,"89,510"
17-3029,Minnesota,"77,500"
27-3031,Minnesota,"76,600"
43-1011,Minnesota,"93,360"
51-1011,Minnesota,"146,320"
27-3031,Mississippi,"80,430"
43-1011,Mississippi,"84,930"
51-1011,Mississippi,"138,590"
13-1161,Missouri,"52,510"
15-1299,Missouri,"81,790"
